reviewer_type,decision,metric,n,mean,std,median
deepreview,Reject,n_weaknesses,322,4.1770186335403725,2.315402804953043,4.0
deepreview,Reject,n_strengths,322,2.1801242236024843,1.4592628137516235,3.0
deepreview,Reject,MCS,317,0.6380665615141956,0.08732291421318751,0.6364
deepreview,Reject,AR,317,0.8361157728706624,0.12529639418594168,0.8235
deepreview,Reject,SD,317,0.29333785488958986,0.1750777261905185,0.2941
deepreview,Reject,CD,317,0.631560883280757,0.22261042470324502,0.625
deepreview,Reject,D1_actionability_mean,317,1.426951735015773,0.2942083106177274,1.4375
deepreview,Reject,D3_justification_mean,317,0.6022905362776025,0.3896409339915406,0.5556
deepreview,Reject,D4_solution_mean,317,0.7927873817034701,0.2965327702423739,0.75
deepreview,Reject,D5_tone_mean,317,1.7292940063091486,0.2953256074673974,1.7368
human,Accept,Total_Valid_Flaws_Found,678,4.652120206489675,1.757115259607482,4.3625
human,Accept,Critical_Recall,665,0.28193281290726824,0.1304623914471196,0.265315
human,Accept,Minor_Recall,678,0.24605861393805306,0.05372213929904208,0.23909
human,Accept,nCPS,678,0.9743940194198623,0.0389191299385729,0.9835659999999999
human,Accept,Raw_CPS,678,4.030956139011799,1.2431472384454412,3.8876225
human,Accept,Total_Arguments,678,4.640105703048181,1.4914005760110092,4.5
human,Accept,R_premise,678,0.5651508849557522,0.0949611304643536,0.57095
human,Accept,S_depth,678,0.47288244837758103,0.06673688056595531,0.4821
human,Accept,DoA_score,678,0.26838672566371685,0.05445381060776203,0.2694
human,Accept,Total_Claims,678,8.624867256637168,3.9664105077738583,7.5
human,Accept,Total_Premises,678,10.888097345132742,3.9701068832047524,10.225
human,Accept,n_arcs,678,10.92305801376598,3.0797755362890795,10.633333333333333
human,Accept,n_weaknesses,678,3.453871681415929,1.4344203769851258,3.25
human,Accept,n_strengths,678,3.1190634218289093,1.2995006282765493,3.0
human,Accept,MCS,678,0.5654493854473943,0.07604163283766113,0.5606125
human,Accept,AR,678,0.7048115351524091,0.15966641536931267,0.71755
human,Accept,SD,678,0.10349682030481808,0.0992561113327996,0.0825375
human,Accept,CD,678,0.5063029314159292,0.1697024110278851,0.4969
human,Accept,D1_actionability_mean,678,1.0774772590953785,0.28541886231946717,1.0920125
human,Accept,D3_justification_mean,678,0.7625975762045231,0.2630571646398506,0.7414375
