reviewer_type,metric,mean_Accept,mean_Reject,delta_Accept_minus_Reject,pct_delta_vs_Reject,n_Accept,n_Reject,std_Accept,std_Reject,cohens_d
cyclereview,AR,0.8983081845238094,0.9164310344827586,-0.018122849958949194,-0.019775465121800336,672,319,0.217573390071125,0.19475468154454642,-0.08609171937783477
cyclereview,CD,0.39523422619047616,0.42404012539184954,-0.028805899201373386,-0.06793201274231833,672,319,0.36293358149864025,0.3686665010735593,-0.07896640671187007
cyclereview,Critical_Recall,0.24370699774266363,0.2252244,0.018482597742663642,0.08206303465638555,443,250,0.30982894743774,0.26817099682626977,0.06254787271355518
cyclereview,D1_actionability_mean,1.3080098214285716,1.3687272727272728,-0.06071745129870121,-0.04436051835053887,672,319,0.4979371129249014,0.4867610746697067,-0.12281754243737593
cyclereview,D3_justification_mean,0.3302136904761904,0.312771473354232,0.017442217121958425,0.055766649480223196,672,319,0.43991544698707213,0.429939080408977,0.03993798428247549
cyclereview,D4_solution_mean,0.39398229166666665,0.4150583072100313,-0.021076015543364635,-0.05077844528648254,672,319,0.3788546080066273,0.403756069703333,-0.05445490326027683
cyclereview,D5_tone_mean,1.3154162202380952,1.3322382445141068,-0.016822024276011538,-0.012626888880634754,672,319,0.41184242521738945,0.40788360781780425,-0.04097199839102793
cyclereview,DoA_score,0.2694892330383481,0.26715372670807447,0.002335506330273629,0.008742181361466445,678,322,0.11419961514628064,0.10559208174622471,0.02094557405725483
cyclereview,MCS,0.5242299107142857,0.5331175548589341,-0.008887644144648377,-0.016671077633149966,672,319,0.11043167897394944,0.1120005646562135,-0.08011321445155987
cyclereview,Minor_Recall,0.18174031746031746,0.19066366666666668,-0.008923349206349213,-0.046801518938318326,630,300,0.14052129347685283,0.1447515876261461,-0.0628856328446157
cyclereview,R_premise,0.6141038348082596,0.615186645962733,-0.0010828111544733954,-0.0017601343617900808,678,322,0.19247059930107985,0.17162335774572726,-0.0058209306436646695
cyclereview,Raw_CPS,2.7938275752773376,2.9383380000000003,-0.14451042472266273,-0.04918100801291843,631,300,1.2535848291746394,1.2457536112285459,-0.1155094923004228
