conference,reviewer_type,mean_|d|,RCI
iclr2024,human,0.3949059171339006,0.6050940828660993
iclr2024,reviewer2,0.09426556995814474,0.9057344300418553
iclr2024,tree,0.07962308754720644,0.9203769124527935
iclr2024,deepreview,0.0825668503975445,0.9174331496024555
iclr2024,sea,0.19831282957061538,0.8016871704293846
iclr2024,cyclereview,0.10900879397322238,0.8909912060267776
iclr2025,human,0.35723822826741297,0.6427617717325871
iclr2025,reviewer2,0.09088409906663257,0.9091159009333675
iclr2025,tree,0.1961156283780131,0.8038843716219869
iclr2025,deepreview,0.14802723418958985,0.8519727658104101
iclr2025,sea,0.10978497531573744,0.8902150246842626
iclr2025,cyclereview,0.08937614225558264,0.9106238577444173
iclr2026,human,0.3148150853545607,0.6851849146454393
iclr2026,reviewer2,0.07404511523690552,0.9259548847630945
iclr2026,tree,0.1732280876317973,0.8267719123682027
iclr2026,deepreview,0.11809045650270983,0.8819095434972901
iclr2026,sea,0.0908541114295035,0.9091458885704965
iclr2026,cyclereview,0.10605108500799285,0.8939489149920071
icml2025,human,0.4439598154176492,0.5560401845823508
icml2025,reviewer2,0.16866226012349791,0.8313377398765021
icml2025,tree,0.07913005464522871,0.9208699453547713
icml2025,deepreview,0.1213529197136746,0.8786470802863254
icml2025,sea,0.08852001080556296,0.9114799891944371
icml2025,cyclereview,0.1262051292929975,0.8737948707070025
neurips2025,human,0.313481362870366,0.686518637129634
neurips2025,reviewer2,0.14856245314162597,0.851437546858374
neurips2025,tree,0.12214163395595992,0.8778583660440401
neurips2025,deepreview,0.12098344203973331,0.8790165579602667
neurips2025,sea,0.1239883282083525,0.8760116717916475
neurips2025,cyclereview,0.05667327444508185,0.9433267255549181
