conference,reviewer_type,decision,metric,n,mean,std
iclr2024,cyclereview,Accept,Total_Valid_Flaws_Found,109,3.1926605504587156,2.162290727275742
iclr2024,cyclereview,Accept,Critical_Recall,70,0.28343,0.3167008748952555
iclr2024,cyclereview,Accept,Minor_Recall,109,0.1969678899082569,0.13167186901166403
iclr2024,cyclereview,Accept,nCPS,109,0.9851293577981651,0.03883961156391255
iclr2024,cyclereview,Accept,Raw_CPS,109,2.923477981651376,1.312750864939571
iclr2024,cyclereview,Accept,Total_Arguments,109,3.256880733944954,1.3703451155252464
iclr2024,cyclereview,Accept,R_premise,146,0.6061082191780822,0.1881989646007831
iclr2024,cyclereview,Accept,S_depth,146,0.4433712328767124,0.13255057015910574
iclr2024,cyclereview,Accept,DoA_score,146,0.2697547945205479,0.11461647717026992
iclr2024,cyclereview,Accept,Total_Claims,146,6.239726027397261,3.953705890585305
iclr2024,cyclereview,Accept,Total_Premises,146,9.342465753424657,4.562876219597767
iclr2024,cyclereview,Accept,n_arcs,146,6.965753424657534,3.103756086136533
iclr2024,cyclereview,Accept,n_weaknesses,146,3.671232876712329,1.9013954550353036
iclr2024,cyclereview,Accept,n_strengths,146,0.02054794520547945,0.24828176658071033
iclr2024,cyclereview,Accept,MCS,146,0.5075,0.10749935942070571
iclr2024,cyclereview,Accept,AR,146,0.8925472602739727,0.22358453903588774
iclr2024,cyclereview,Accept,SD,146,0.03106849315068493,0.12149398041193003
iclr2024,cyclereview,Accept,CD,146,0.3459445205479452,0.3385675594030139
iclr2024,cyclereview,Accept,D1_actionability_mean,146,1.2596383561643836,0.4691634082301248
iclr2024,cyclereview,Accept,D3_justification_mean,146,0.3232013698630137,0.4233540795690597
iclr2024,cyclereview,Accept,D4_solution_mean,146,0.3546513698630137,0.361564793112936
iclr2024,cyclereview,Accept,D5_tone_mean,146,1.2444938356164383,0.38501471001411824
iclr2024,cyclereview,Reject,Total_Valid_Flaws_Found,45,3.2,1.3751033019046575
iclr2024,cyclereview,Reject,Critical_Recall,35,0.24887428571428574,0.26713773528546164
iclr2024,cyclereview,Reject,Minor_Recall,45,0.2117822222222222,0.1341015885081308
iclr2024,cyclereview,Reject,nCPS,45,0.9772177777777776,0.0478188356236749
iclr2024,cyclereview,Reject,Raw_CPS,45,2.895273333333333,0.9414326621987074
iclr2024,cyclereview,Reject,Total_Arguments,45,3.1333333333333333,1.013544635066817
iclr2024,cyclereview,Reject,R_premise,54,0.6191518518518518,0.16460025303259024
iclr2024,cyclereview,Reject,S_depth,54,0.43904999999999994,0.12631686684309665
iclr2024,cyclereview,Reject,DoA_score,54,0.2683555555555556,0.10120615923285829
iclr2024,cyclereview,Reject,Total_Claims,54,5.444444444444445,3.0010480349664683
iclr2024,cyclereview,Reject,Total_Premises,54,8.685185185185185,3.113113312001554
iclr2024,cyclereview,Reject,n_arcs,54,6.962962962962963,2.100879986001939
iclr2024,cyclereview,Reject,n_weaknesses,54,3.740740740740741,1.443073046768207
iclr2024,cyclereview,Reject,n_strengths,54,0.0,0.0
iclr2024,cyclereview,Reject,MCS,54,0.5426074074074074,0.11983397611231755
iclr2024,cyclereview,Reject,AR,54,0.9216018518518518,0.17941645608328985
iclr2024,cyclereview,Reject,SD,54,0.07991851851851851,0.22299007260589582
iclr2024,cyclereview,Reject,CD,54,0.4370796296296296,0.3837626140165836
iclr2024,cyclereview,Reject,D1_actionability_mean,54,1.365664814814815,0.47485229725709704
iclr2024,cyclereview,Reject,D3_justification_mean,54,0.29046851851851846,0.4048508030914617
iclr2024,cyclereview,Reject,D4_solution_mean,54,0.4773851851851852,0.456344633672886
iclr2024,cyclereview,Reject,D5_tone_mean,54,1.3843203703703706,0.4493125677515407
iclr2024,deepreview,Accept,Total_Valid_Flaws_Found,146,4.082191780821918,2.160800775303607
iclr2024,deepreview,Accept,Critical_Recall,98,0.34969795918367347,0.30515181754066195
iclr2024,deepreview,Accept,Minor_Recall,145,0.24744413793103445,0.15879357401804797
iclr2024,deepreview,Accept,nCPS,146,0.9746760273972602,0.09136517657355282
iclr2024,deepreview,Accept,Raw_CPS,146,3.3094609589041095,1.3851106909270658
iclr2024,deepreview,Accept,Total_Arguments,146,3.856164383561644,1.7260268349190435
iclr2024,deepreview,Accept,R_premise,146,0.6008431506849314,0.18312525199513197
iclr2024,deepreview,Accept,S_depth,146,0.4295369863013699,0.14824582660344182
iclr2024,deepreview,Accept,DoA_score,146,0.25679315068493147,0.11569940461655545
iclr2024,deepreview,Accept,Total_Claims,146,6.8561643835616435,4.006872933326707
iclr2024,deepreview,Accept,Total_Premises,146,10.45890410958904,4.9202280747931795
iclr2024,deepreview,Accept,n_arcs,146,15.047945205479452,4.8726289608465265
iclr2024,deepreview,Accept,n_weaknesses,146,4.006849315068493,2.0188647384879137
iclr2024,deepreview,Accept,n_strengths,146,2.595890410958904,1.273489732291644
iclr2024,deepreview,Accept,MCS,143,0.6339573426573427,0.0783660753074057
iclr2024,deepreview,Accept,AR,143,0.8165076923076923,0.12069188746960204
iclr2024,deepreview,Accept,SD,143,0.3005909090909091,0.17548139378481326
iclr2024,deepreview,Accept,CD,143,0.5955251748251749,0.18971794946098403
iclr2024,deepreview,Accept,D1_actionability_mean,143,1.3907125874125872,0.2745298359493131
iclr2024,deepreview,Accept,D3_justification_mean,143,0.5923685314685314,0.35894340316937734
iclr2024,deepreview,Accept,D4_solution_mean,143,0.7884832167832168,0.2917906525706531
iclr2024,deepreview,Accept,D5_tone_mean,143,1.745558741258741,0.21706907102484108
iclr2024,deepreview,Reject,Total_Valid_Flaws_Found,54,4.055555555555555,2.334456153923478
iclr2024,deepreview,Reject,Critical_Recall,46,0.316895652173913,0.27545452535079523
iclr2024,deepreview,Reject,Minor_Recall,54,0.23316481481481485,0.1729852901995911
iclr2024,deepreview,Reject,nCPS,54,0.955411111111111,0.06143592970827003
iclr2024,deepreview,Reject,Raw_CPS,54,3.5468777777777776,1.4563001280275578
iclr2024,deepreview,Reject,Total_Arguments,54,3.925925925925926,1.8207592429600894
iclr2024,deepreview,Reject,R_premise,54,0.6368703703703703,0.1576949558658127
iclr2024,deepreview,Reject,S_depth,54,0.4536981481481482,0.13844393660038562
iclr2024,deepreview,Reject,DoA_score,54,0.2883481481481482,0.11456583958702318
iclr2024,deepreview,Reject,Total_Claims,54,6.537037037037037,3.4516223309602556
iclr2024,deepreview,Reject,Total_Premises,54,11.37037037037037,4.239510012166083
iclr2024,deepreview,Reject,n_arcs,54,14.38888888888889,4.163709642544901
iclr2024,deepreview,Reject,n_weaknesses,54,4.12962962962963,2.395327970582043
iclr2024,deepreview,Reject,n_strengths,54,2.2222222222222223,1.2688825371490304
iclr2024,deepreview,Reject,MCS,54,0.6175148148148148,0.09228454439867337
iclr2024,deepreview,Reject,AR,54,0.8134425925925924,0.10820315379537165
iclr2024,deepreview,Reject,SD,54,0.25833333333333336,0.1843066190111488
iclr2024,deepreview,Reject,CD,54,0.6302537037037038,0.21690509420408763
iclr2024,deepreview,Reject,D1_actionability_mean,54,1.3798074074074076,0.29628881680374464
iclr2024,deepreview,Reject,D3_justification_mean,54,0.5451703703703704,0.398130134991738
iclr2024,deepreview,Reject,D4_solution_mean,54,0.7767574074074075,0.31386836539089386
iclr2024,deepreview,Reject,D5_tone_mean,54,1.6961296296296298,0.40295522136619016
iclr2024,human,Accept,Total_Valid_Flaws_Found,146,4.118424657534247,1.5489583637642328
iclr2024,human,Accept,Critical_Recall,142,0.27094498806729267,0.12885842705832015
iclr2024,human,Accept,Minor_Recall,146,0.24460190353881278,0.05879306760525497
